code,review
"@@ -81,7 +81,7 @@ feature 'LOA1 Single Sign On' do it 'user can view and confirm personal key during sign up', :js do allow(FeatureManagement).to receive(:prefill_otp_codes?).and_return(true) user = create(:user, :with_phone) - code = '1234' + code = 'ABC1-DEF2-GHI3-JKL4' stub_personal_key(user: user, code: code) loa1_sp_session ","Again, Poltergeist didn't catch the fact that this field has a regex pattern requirement."
"@@ -1208,9 +1208,9 @@ def regularize(cov, info, mag=0.1, grad=0.1, eeg=0.1, exclude='bads', channel type separately. Special care is taken to keep the rank of the data constant. - Note. This function is kept for reasons of backwards-compatibility. - Please consider explicitly using the `method` parameter in - compute_covariance to directly combine estimation with regularization + **Note:** This function is kept for reasons of backward-compatibility. + Please consider explicitly using the ``method`` parameter in + `compute_covariance` to directly combine estimation with regularization in a data-driven fashion. Parameters ",maybe add a link to the FAQ section.
"@@ -828,13 +828,13 @@ func (b *cloudBackend) runEngineAction( <-displayDone scope.Close() // Don't take any cancellations anymore, we're shutting down. close(engineEvents) - close(displayEvents) close(displayDone) contract.IgnoreClose(manager) // Make sure that the goroutine writing to displayEvents and callerEventsOpt // has exited before proceeding <-eventsDone + close(displayEvents) status := apitype.UpdateStatusSucceeded if err != nil { ",shouldn't pulling on displayDone be done after pulling on eventsDone... ?
"@@ -10,11 +10,16 @@ from six.moves import socketserver #type: ignore # pylint: disable=import-erro import josepy as jose import OpenSSL +import pytest from acme import errors from acme import test_util from acme.magic_typing import List # pylint: disable=unused-import, no-name-in-module +# turns all ResourceWarnings into errors for this module +if six.PY3: + pytestmark = pytest.mark.filterwarnings(ignore::ResourceWarning) # pragma: no cover + class SSLSocketAndProbeSNITest(unittest.TestCase): Tests for acme.crypto_util.SSLSocket/probe_sni. ",Doesn't this do the opposite and ignores all `ResourceWarnings` in this module?
"@@ -30,6 +30,9 @@ public interface MessageQueueWriter { void write(List<RawMessageEvent> entries) throws MessageQueueException; + default void preFlightCheck() throws PreflightCheckException { + } + @AutoValue abstract class Metrics { public static class Provider implements javax.inject.Provider<MessageQueueWriter.Metrics> { ","What do you think about moving this out of the interface? I think the implementation is inconsistent with other pre-flight checks. The MongoDB and Elasticsearch services don't implement checks this way, and potential plugin checks do neither."
"@@ -55,11 +55,11 @@ class Options: self.fast_parser = False self.incremental = False - def __eq__(self, other): + def __eq__(self, other: Any) -> bool: return self.__class__ == other.__class__ and self.__dict__ == other.__dict__ - def __ne__(self, other): + def __ne__(self, other: Any) -> bool: return not self == other - def __repr__(self): + def __repr__(self) -> str: return 'Options({})'.format(pprint.pformat(self.__dict__)) ",This should actually be `object`.
"@@ -303,7 +303,7 @@ feature 'Sign Up', devise: true do # When I resend confirmation instructions to an existing user # Then the user does not receive an email context 'confirmation instructions sent to existing user', email: true do - it 'does not send an email to the existing user' do + xit 'does not send an email to the existing user' do user = create(:user) visit '/' ","this 'resend email confirmation' link is not currently in designs, hence the removal -- will discuss with ryan t and figure out where we can slide it..."
"@@ -94,6 +94,10 @@ class Dataset: meta_name = self._config.get('dataset_meta') if meta_name: meta_name = Path(meta_name) + print_info({dataset_name} dataset metadata will be saved to {file}.format( + dataset_name=self._config['name'], file=meta_name)) + print_info('Converted annotation for {dataset_name} dataset will be saved to {file}'.format( + dataset_name=self._config['name'], file=Path(annotation_name))) save_annotation(annotation, meta, Path(annotation_name), meta_name) self._annotation = annotation ","Do you check path representation, when you print it? If I not mistaken, it will be printed like PosixPath('path')"
"@@ -43,10 +43,17 @@ class Package extends BasePackage protected $stability; protected $notificationUrl; + /** + * @var Link[] + */ protected $requires = array(); protected $conflicts = array(); protected $provides = array(); protected $replaces = array(); + + /** + * @var Link[] + */ protected $devRequires = array(); protected $suggests = array(); protected $autoload = array(); ","this should also be done for other properties (conflicts, provides and replaces are also package links)"
"@@ -113,6 +113,11 @@ public class RegisterIsoCmd extends BaseCmd { description = true if ISO should bypass Secondary Storage and be downloaded to Primary Storage on deployment) private Boolean directDownload; + @Parameter(name = ApiConstants.PASSWORD_ENABLED, + type = CommandType.BOOLEAN, + description = true if password reset feature is supported; default is false) + private Boolean passwordEnabled; + ///////////////////////////////////////////////////// /////////////////// Accessors /////////////////////// ///////////////////////////////////////////////////// ",@anuragaw let's export this via the template response (listIsos response should return this key) and we're golden!
"@@ -710,6 +710,8 @@ redo_accept: X509_free(signer); X509_STORE_free(store); X509_VERIFY_PARAM_free(vpm); + if (rsign_sigopts != NULL) + sk_OPENSSL_STRING_free(rsign_sigopts); EVP_PKEY_free(key); EVP_PKEY_free(rkey); X509_free(cert); ",The NULL check isn't necesary.
"@@ -3,6 +3,8 @@ # # SPDX-License-Identifier: (Apache-2.0 OR MIT) +from spack import * + class PyGrpcio(PythonPackage): HTTP/2-based RPC framework. ",You'll need another blank line after this to get the flake8 and isort checks to pass.
"@@ -4381,9 +4381,9 @@ class ConfigProviders(Config): curProvObj = sorted_providers[curProvider] curProvObj.enabled = curEnabled if curEnabled: - providers_reordered.insert(0, curProvider) + enabled_providers.append(curProvider) else: - providers_reordered.append(curProvider) + disabled_providers.append(curProvider) except: continue ",@echel0n this line means that providers which a lower preference become the most preferred when saving providers.
"@@ -70,7 +70,7 @@ final class PageTrashSubscriber implements EventSubscriberInterface return; } - $this->trashManager->store(BasePageDocument::RESOURCE_KEY, $event->getDocument()); + $this->trashManager->store(BasePageDocument::RESOURCE_KEY, $document); $this->hasPendingTrashItem = true; } ",Can you describe this change?
"@@ -134,14 +134,14 @@ vos_imem_strts_create(struct vos_imem_strts *imem_inst) rc = d_uhash_create(0 /* no locking */, VOS_POOL_HHASH_BITS, &imem_inst->vis_pool_hhash); if (rc) { - D_ERROR(Error in creating POOL ref hash: %d\n, rc); + D_ERROR(Error in creating POOL ref hash: DF_RC\n, DP_RC(rc)); goto failed; } rc = d_uhash_create(D_HASH_FT_EPHEMERAL, VOS_CONT_HHASH_BITS, &imem_inst->vis_cont_hhash); if (rc) { - D_ERROR(Error in creating CONT ref hash: %d\n, rc); + D_ERROR(Error in creating CONT ref hash: DF_RC\n, DP_RC(rc)); goto failed; } ",(style) line over 80 characters
"@@ -74,7 +74,10 @@ public abstract class BaseTopNAlgorithm<DimValSelector, DimValAggregateStore, Pa { boolean hasDimValSelector = (dimValSelector != null); - final int cardinality = params.getCardinality(); + int cardinality = params.getCardinality(); + if (cardinality < 0) { + cardinality = Integer.MAX_VALUE; + } int numProcessed = 0; while (numProcessed < cardinality) { final int numToProcess; ","Why this change should be a part of this PR? cardinality < 0 probably means that completely different approach should be taken to compute topN, setting just to `Integer.MAX_VALUE` may result in a lot of excessive work and allocations in `run()` method."
"@@ -1,3 +1,15 @@ +''' A categorical bar chart illustrating the use of `factor_cmap <factor_cmap>`_ to associate colors from a palette +with categories. + +.. rubric:: Details + +:bokeh APIs: :func:`~bokeh.plotting.Figure.vbar`, :func:`~bokeh.transform.factor_cmap` +:references: :ref:`userguide_categorical_bars` +:keywords: bar, vbar, legend, factor_cmap, palette + +| + +''' from bokeh.io import output_file, show from bokeh.models import ColumnDataSource from bokeh.palettes import Spectral6 ","@hyles-lineata, what's this marker for?"
"@@ -97,8 +97,8 @@ define([ }); } - var vertexShaderText = vertexShaderSource.createCombinedVertexShader(); - var fragmentShaderText = fragmentShaderSource.createCombinedFragmentShader(); + var vertexShaderText = vertexShaderSource.createCombinedVertexShader(this._context.webgl2); + var fragmentShaderText = fragmentShaderSource.createCombinedFragmentShader(this._context.webgl2); var keyword = vertexShaderText + fragmentShaderText + JSON.stringify(attributeLocations); var cachedShader; ",It is slightly cleaner to just pass `context` through and only access `context.webgl2` in `combineShader`. Also this lets us access any other properties of `context` in the future.
"@@ -28,15 +28,10 @@ import org.mockito.junit.jupiter.MockitoExtension; class SwingActionTest { private static final Object VALUE = new Object(); - private static final Runnable RUNNABLE_THROWING_EXCEPTION = - () -> { - throw new IllegalStateException(); - }; + private static Object throwException() { + throw new IllegalStateException(); + } - private static final Supplier<?> SUPPLIER_THROWING_EXCEPTION = - () -> { - throw new IllegalStateException(); - }; @Mock private Runnable action; @Mock private ActionEvent event; @Mock private ActionListener listener; ",Any thoughts to inline this directly? I think that might be a bit more direct.
"@@ -237,7 +237,13 @@ class ChannelGraph(object): if not valid_timeout: continue - yield Route(path, channel) + if channel.network_state == NODE_NETWORK_UNKNOWN: + online_nodes.append(Route(path, channel)) + + if channel.network_state == NODE_NETWORK_REACHABLE: + unknown_nodes.append(Route(path, channel)) + + return online_nodes + unknown_nodes def has_path(self, source_address, target_address):  True if there is a connecting path regardless of the number of hops.  ","Here it seems to me that it should be the other way around. If the `state` is `UNKNOWN` then it should be added to `unknown_nodes` and if `REACHABLE` to `online_nodes`, right?"
"@@ -126,7 +126,11 @@ func sendConfigToChannel(configurationChan chan<- types.ConfigMessage, configura } func loadFileConfig(filename string) (*types.Configuration, error) { - configuration := new(types.Configuration) + configuration := &types.Configuration{ + Frontends: make(map[string]*types.Frontend), + Backends: make(map[string]*types.Backend), + TLSConfiguration: make([]*tls.Configuration, 0), + } if _, err := toml.DecodeFile(filename, configuration); err != nil { return nil, fmt.Errorf(error reading configuration file: %s, err) } ",not needed because it's not a pointer on a slice.
"@@ -935,6 +935,11 @@ function elgg_view_entity_icon(ElggEntity $entity, $size = 'medium', $vars = arr * @return string/false Rendered annotation */ function elgg_view_annotation(ElggAnnotation $annotation, array $vars = array(), $bypass = true, $debug = false) { + + if (!$annotation || !($annotation instanceof ElggAnnotation)) { + return false; + } + global $autofeed; $autofeed = true; ",FYI with instanceof you don't need a separate check for bool/object. It doesn't throw errors.
"@@ -62,6 +62,8 @@ namespace DynamoSandbox internal class Program { + private static readonly SettingsMigrationWindow migrationWindow = new SettingsMigrationWindow(); + private static void MakeStandaloneAndRun(string commandFilePath, out DynamoViewModel viewModel) { var geometryFactoryPath = string.Empty; ","This will be created regardless of migration actually happening, can we `new` only in `SettingsMigrationEventArgs.EventStatusType.Begin`?"
"@@ -374,3 +374,7 @@ def sum_order_totals(qs): zero = Money(0, currency=settings.DEFAULT_CURRENCY) taxed_zero = TaxedMoney(zero, zero) return sum([order.total for order in qs], taxed_zero) + + +def get_valid_shipping_methods(order: Order): + return applicable_shipping_methods(order, price=order.get_subtotal().gross.amount) ","What do we gain from having this function? It doesn't do any additional logic. Also, we already have a function with the same name for checkout."
"@@ -10,10 +10,11 @@ class PyGraphqlCore(PythonPackage): for APIs created by Facebook. homepage = https://github.com/graphql-python/graphql-core - url = https://github.com/graphql-python/graphql-core/archive/v3.1.2.tar.gz + pypi = graphql-core/graphql-core-3.1.5.tar.gz - version('3.1.2', sha256='16087360d34f9cfa295b401fc17f9f11bcddef0e6e0dc5a694bbe2298b31949b') - version('3.0.5', sha256='88021f8b879f18cf56523644e51e1552b126a9ad9ab218f579bf503d236d5272') + version('3.1.2', sha256='c056424cbdaa0ff67446e4379772f43746bad50a44ec23d643b9bdcd052f5b3a') + version('3.0.5', sha256='51f7dab06b5035515b23984f6fcb677ed909b56c672152699cca32e03624992e') + version('2.3.2', sha256='aac46a9ac524c9855910c14c48fc5d60474def7f99fd10245e76608eba7af746') - depends_on('python@3.6:3.999', type=('build', 'run')) + depends_on('python@3.6:', type=('build', 'run')) depends_on('py-setuptools', type='build') ","Can you undo this change, the `setup.py` contains: `python_requires=>=3.6,<4`"
"@@ -76,6 +76,7 @@ struct obj_auxi_args { * ec_in_recov -- a EC recovery task */ uint32_t io_retry:1, + io_task_reinited:1, args_initialized:1, to_leader:1, spec_shard:1, ","Hmm, reinit is called somewhere else as well, but reinited = 1 is only set here. probably io_retried is clearer here. Or I miss sth?"
"@@ -7025,6 +7025,14 @@ spa_async_thread(void *arg) !spa_feature_is_enabled(dp->dp_spa, SPA_FEATURE_RESILVER_DEFER))) dsl_resilver_restart(dp, 0); + if (tasks & SPA_ASYNC_INITIALIZE_RESTART) { + mutex_enter(&spa_namespace_lock); + spa_config_enter(spa, SCL_CONFIG, FTAG, RW_READER); + vdev_initialize_restart(spa->spa_root_vdev); + spa_config_exit(spa, SCL_CONFIG, FTAG); + mutex_exit(&spa_namespace_lock); + } + /* * Let the world know that we're done. */ ",mismerge? this seems to be duplicate.
"@@ -305,9 +305,13 @@ class Checkout: self._add_to_user_address_book( self.billing_address, is_billing=True) - shipping_price = ( - self.shipping_method.get_total() if self.shipping_method - else Price(0, currency=settings.DEFAULT_CURRENCY)) + if self.shipping_method: + shipping_price = self.shipping_method.get_total_price() + else: + shipping_price = TaxedMoney( + net=Money(0, currency=settings.DEFAULT_CURRENCY), + gross=Money(0, currency=settings.DEFAULT_CURRENCY)) + order_data = { 'language_code': get_language(), 'billing_address': billing_address, ",Why do we intentionally discard the net price here?
"@@ -74,7 +74,7 @@ ica.apply(epochs) # clean data, default in place evoked = [epochs[k].average() for k in event_ids] -contrast = evoked[1] - evoked[0] +contrast = combine_evoked(evoked, weights=[-1, 1]) # Faces - scrambled evoked.append(contrast) ","actually, I find the original code much clearer in this instance."
"@@ -80,6 +80,17 @@ def _raise_did_you_mean(address_family: AddressFamily, name: str, source=None) - raise resolve_error from source raise resolve_error +@rule +async def find_build_file(address: Address) -> BuildFileAddress: + address_family = await Get[AddressFamily](Dir(address.spec_path)) + if address not in address_family.addressables: + _raise_did_you_mean(address_family=address_family, name=address.target_name) + return next( + build_file_address + for build_file_address in address_family.addressables.keys() + if build_file_address == address + ) + @rule async def hydrate_struct(address_mapper: AddressMapper, address: Address) -> HydratedStruct: ","So, this works, but we should take a look at how it is being used, and see whether it should be batched. The parsing will be memoized obviously, but each usage is O(N) in the number of targets in a directory."
"@@ -242,14 +242,14 @@ void menu_temperature() { EDIT_ITEM_FAST(percent, MSG_EXTRA_FAN_SPEED_1, &thermalManager.new_fan_speed[0], 3, 255); #endif #endif - #if HAS_FAN1 || (ENABLED(SINGLENOZZLE) && EXTRUDERS > 1) + #if HAS_FAN1 || (DISABLED(SINGLENOZZLE) && EXTRUDERS > 1) editable.uint8 = thermalManager.fan_speed[1]; EDIT_ITEM_FAST(percent, MSG_FAN_SPEED_2, &editable.uint8, 0, 255, [](){ thermalManager.set_fan_speed(1, editable.uint8); }); #if ENABLED(EXTRA_FAN_SPEED) EDIT_ITEM_FAST(percent, MSG_EXTRA_FAN_SPEED_2, &thermalManager.new_fan_speed[1], 3, 255); #endif #endif - #if HAS_FAN2 || (ENABLED(SINGLENOZZLE) && EXTRUDERS > 2) + #if HAS_FAN2 || (DISABLED(SINGLENOZZLE) && EXTRUDERS > 2) editable.uint8 = thermalManager.fan_speed[2]; EDIT_ITEM_FAST(percent, MSG_FAN_SPEED_3, &editable.uint8, 0, 255, [](){ thermalManager.set_fan_speed(2, editable.uint8); }); #if ENABLED(EXTRA_FAN_SPEED) ",This condition doesn't get rid of the issue that `HAS_FAN1` is made irrelevant. I will look into the back-history of this code to see why it is shaped the way it is.
"@@ -208,8 +208,8 @@ func (cfg *AutoScalingConfig) RegisterFlags(argPrefix string, f *flag.FlagSet) { f.StringVar(&cfg.RoleARN, argPrefix+.role-arn, , AWS AutoScaling role ARN) f.Int64Var(&cfg.MinCapacity, argPrefix+.min-capacity, 3000, DynamoDB minimum provision capacity.) f.Int64Var(&cfg.MaxCapacity, argPrefix+.max-capacity, 6000, DynamoDB maximum provision capacity.) - f.Int64Var(&cfg.OutCooldown, argPrefix+.out-cooldown, 3000, DynamoDB minimum time between each autoscaling event that increases provision capacity.) - f.Int64Var(&cfg.InCooldown, argPrefix+.in-cooldown, 3000, DynamoDB minimum time between each autoscaling event that decreases provision capacity.) + f.Int64Var(&cfg.OutCooldown, argPrefix+.out-cooldown, 1800, DynamoDB minimum seconds between each autoscale up.) + f.Int64Var(&cfg.InCooldown, argPrefix+.in-cooldown, 1800, DynamoDB minimum seconds between each autoscale down.) f.Float64Var(&cfg.TargetValue, argPrefix+.target-value, 80, DynamoDB target ratio of consumed capacity to provisioned capacity.) } ","All usages of this are as a time.Duration, so perhaps we should make this a DurationVar?"
"@@ -338,8 +338,11 @@ def compute_covariance(epochs, keep_sample_mean=True, tmin=None, tmax=None, cov : instance of Covariance The computed covariance.  + if not isinstance(epochs, list): - epochs = [epochs] + epochs = _unpack_epochs(epochs) + else: + epochs = reduce(add, [_unpack_epochs(epoch) for epoch in epochs]) # check for baseline correction for epochs_t in epochs: ",just to check would: sum([_unpack_epochs(epoch) for epoch in epochs]) work too?
"@@ -80,8 +80,11 @@ public class AvroDataTranslator implements DataTranslator { private Iterable<String> names; - TypeNameGenerator() { - this(ImmutableList.of(KsqlConstants.AVRO_SCHEMA_FULL_NAME)); + TypeNameGenerator(final Map<String, String> properties) { + final String schemaFullName = properties.get(KsqlAvroTopicSerDe.AVRO_SCHEMA_FULL_NAME); + this.names = ImmutableList.of(schemaFullName == null + ? KsqlConstants.AVRO_SCHEMA_FULL_NAME : + StringUtil.cleanQuotes(schemaFullName)); } private TypeNameGenerator(final Iterable<String> names) { ",Can we rename `AVRO_SCHEMA_FULL_NAME` to `DEFAULT_AVRO_SCHEMA_FULL_NAME` please?
"@@ -53,8 +53,9 @@ def export_products( def get_filename(model_name: str, file_type: str) -> str: - return {}_data_{}.{}.format( - model_name, timezone.now().strftime(%d_%m_%Y), file_type + hash = secrets.token_hex(nbytes=3) + return {}_data_{}_{}.{}.format( + model_name, timezone.now().strftime(%d_%m_%Y_%H_%M_%S), hash, file_type ) ",Are we sure that this will not return any forbidden characters for the path file?
"@@ -47,15 +47,15 @@ func (c *console) Close() error { func (c *console) PublishEvent( s op.Signaler, opts outputs.Options, - event common.MapStr, + event outputs.Data, ) error { var jsonEvent []byte var err error if c.config.Pretty { - jsonEvent, err = json.MarshalIndent(event, ,  ) + jsonEvent, err = json.MarshalIndent(event.Event, ,  ) } else { - jsonEvent, err = json.Marshal(event) + jsonEvent, err = json.Marshal(event.Event) } if err != nil { logp.Err(Fail to convert the event to JSON (%v): %#v, err, event) ",can we renamed the field itself also to data? Otherwise we have inception below :-)
"@@ -32,7 +32,7 @@ import games.strategy.triplea.util.Stopwatch; /** * A place to find images and map data for a ui. */ -public class UIContext extends AbstractUIContext implements IUIContext { +public class UIContext extends AbstractUIContext { protected MapData m_mapData; protected final TileImageFactory m_tileImageFactory = new TileImageFactory(); protected final UnitImageFactory m_unitImageFactory = new UnitImageFactory(); ","There are methods in IUIContext, no?"
"@@ -201,5 +201,12 @@ func ValidatePolicyConfig(config api.PolicyConfig) fielderrors.ValidationErrorLi func ValidateProjectRequestConfig(config api.ProjectRequestConfig) fielderrors.ValidationErrorList { allErrs := fielderrors.ValidationErrorList{} + if len(config.ProjectRequestTemplate) > 0 { + tokens := strings.Split(config.ProjectRequestTemplate, /) + if len(tokens) != 2 { + allErrs = append(allErrs, fielderrors.NewFieldInvalid(projectRequestTemplate, config.ProjectRequestTemplate, must be in the form: namespace/templateName)) + } + } + return allErrs } ","If ProjectRequestTemplate is required, shouldn't you throw an error if it's absent?"
"@@ -101,6 +101,18 @@ def write_mrk(fname, points): raise ValueError(err) +def average_mrks(mrk, mrk2): + if isinstance(mrk, basestring): + mrk = read_mrk(mrk) + if isinstance(mrk2, basestring): + mrk2 = read_mrk(mrk2) + + np.testing.assert_array_equal(mrk.shape, mrk2.shape, + err_msg= 'Mismatch in the number of markers.') + mrk = (mrk+mrk2)/2 + return mrk + + def read_elp(fname): ELP point extraction in Polhemus head space ",we never use np.testing outside of tests. Also shape are tuples so == works fine.
"@@ -595,8 +595,6 @@ namespace System.ServiceModel.Syndication } } reader.MoveToElement(); - string localName = reader.LocalName; - string nameSpace = reader.NamespaceURI; string val = (kind == TextSyndicationContentKind.XHtml) ? reader.ReadInnerXml() : reader.ReadElementString(); TextSyndicationContent result = new TextSyndicationContent(val, kind); if (attrs != null) ","Do either LocalName or NamespaceURI have side-effects, e.g. advancing the reader, throwing exceptions if something couldn't be parsed, etc.?"
"@@ -49,12 +49,16 @@ class SetPassword(CreateToken): token = graphene.String( description=A one-time token required to set the password., required=True ) + email = graphene.String(required=True) + password = graphene.String(required=True) class Meta: description = ( Sets the user's password from the token sent by email  using the RequestPasswordReset mutation. ) + error_type_class = AccountError + error_type_field = account_errors @classmethod def mutate(cls, root, info, **data): ",Where are the descriptions?  
"@@ -1448,11 +1448,7 @@ class URL implements Serializable { return false; } URL other = (URL) obj; - if (host == null) { - if (other.host != null) { - return false; - } - } else if (!host.equals(other.host)) { + if(!StringUtils.isEquals(host, other.host)) { return false; } if (parameters == null) { ","what about this block, should we refactor at the same time?"
"@@ -15,12 +15,12 @@ import ( // REST implements the RESTStorage interface in terms of an Registry. type REST struct { - registry Registry + client kclient.NamespaceInterface } -// NewStorage returns a new REST. -func NewREST(registry Registry) apiserver.RESTStorage { - return &REST{registry} +// NewREST returns a RESTStorage object that will work against Project resources +func NewREST(client kclient.NamespaceInterface) apiserver.RESTStorage { + return &REST{client: client} } // New returns a new Project for use with Create and Update. ",Another reason this has to be this way is that we have to run on kube directly - we should make a note somewhere that it's illegal to reference a kube registry from an openshift storage object.
"@@ -190,10 +190,10 @@ export class AmpStoryAutoAds extends AMP.BaseElement { constructor(element) { super(element); - /** @private {?../../amp-story/0.1/amp-story.AmpStory} */ + /** @private {?../../amp-story/1.0/amp-story.AmpStory} */ this.ampStory_ = null; - /** @private {?../../amp-story/0.1/navigation-state.NavigationState} */ + /** @private {?../../amp-story/1.0/navigation-state.NavigationState} */ this.navigationState_ = null; /** @private {number} */ ",Remnant of moving from `0.1` to `1.0`? Is this change required as part of moving to a new Closure Compiler or just convenient to make in this PR?
"@@ -41,7 +41,7 @@ export function deepScan( startNode, callback, arg = undefined, - state = true, + state = /** @type {S} */ (/** @type {?} */ (true)), includeSelf = true ) { if (includeSelf) { ",fmi: did directly casting to `S` not work?
"@@ -420,9 +420,11 @@ namespace DotNetNuke.Services.Search.Internals { return searchPhrase; } - + + string output = FoldToASCII(searchPhrase); + // we have a quotation marks and/or wildcard search, adjust accordingly - var chars = searchPhrase.ToArray(); + var chars = output.TrimEnd('\0').ToCharArray(); var insideQuote = false; var newPhraseBulder = new StringBuilder(); var currentWord = new StringBuilder(); ",Please put the `Trim` inside `FoldToASCII`
"@@ -145,7 +145,7 @@ namespace Microsoft.Extensions.FileProviders ref _fileWatcher, ref _fileWatcherInitialized, ref _fileWatcherLock, - _fileWatcherFactory); + _fileWatcherFactory) ?? throw new NullReferenceException(nameof(_fileWatcher)); } set { ",this should be a separate change - we should avoid any product changes when adding annotations
"@@ -150,7 +150,7 @@ module Users # Don't allow the user to modify UserTeam-s if he's not admin, # unless he/she is modifying his/her UserTeam if current_user != @user_t.user && - !is_admin_of_team(@user_t.team) + !can_read_team?(@user_t.team) render_403 end end ","Here the same, I would make separate methods `check_leave_team_permission` and `check_manage_user_team_permission`."
"@@ -109,7 +109,6 @@ static void write_pattern(struct mm_heap *heap_map, int heap_depth, memset( (void *)current_map->base, pattern, current_map->count * current_map->block_size); - sizeof(*current_map)); } } ","wow, we must have other not compiled code hidden by conditional compilation."
"@@ -915,6 +915,10 @@ class ExceptionHandler(object): 'traceback': _format_exc(exc_val, exc_tb), 'conda_info': info_dict, } + + if isinstance(exc_val, CondaError): + error_report['conda_error_dump'] = exc_val.dump_map() + return error_report def print_unexpected_error_report(self, error_report): ",I'm not sure I like the name of this key here...
"@@ -253,3 +253,9 @@ class DvcFileSystem(BaseFileSystem): # pylint:disable=abstract-method ret[obj.hash_info.name] = obj.hash_info.value return ret + + def _download(self, from_info, to_file, **kwargs): + fs, path = self._get_fs_path(from_info) + fs._download( # pylint: disable=protected-access + path, to_file, **kwargs + ) ","For the record: this is a bit ugly, but it will turn into a cleaner and more proper `fs.get_file` when migrating dvcfs to fsspec."
