label,code,cc_gene_top0,cc_gene_top1,cc_pre_top0,cc_pre_top1,cc_gene_top0_classification,cc_gene_top1_classification,cc_pre_top0_classification,cc_pre_top1_classification
I'd rather just send the parameter twice than break encapsulation here. There's already precedence with webelement IDs,"@@ -1654,9 +1654,10 @@ class TargetLocator { * when the driver has changed focus to the specified window. */ window(nameOrHandle) { + let paramName = this.driver_.getExecutor().w3c ? 'handle' : 'name'; return this.driver_.schedule( new command.Command(command.Name.SWITCH_TO_WINDOW). - setParameter('name', nameOrHandle), + setParameter(paramName, nameOrHandle), 'WebDriver.switchTo().window(' + nameOrHandle + ')'); } ","**Code Review**

* The code introduces a new variable `paramName` to handle the difference between W3C and non-W3C driver modes, which improves readability and maintainability.
* The use of a ternary operator to determine the parameter name is concise and effective.
* The command parameter is correctly set based on the driver mode.
* The command name and execution string are correctly formatted.
* The code follows standard JavaScript syntax and conventions.",'Nice simplification of duplicated logic with the introduction of paramName.',nit: I would probably prefer `windowW3c` and `windowLegacy` names for these.,Nit: `nameOrHandle` is more descriptive than `handle`,IN,IN,IN,IN
You may put 'open-mmlab://res2net101_v1d_26w_4s' here. MMCV will be updated later.,"@@ -0,0 +1,5 @@ +_base_ = '../cascade_rcnn/cascade_mask_rcnn_r50_fpn_20e_coco.py' +model = dict( + pretrained= # NOQA + 'https://shanghuagao.oss-cn-beijing.aliyuncs.com/res2net/res2net101_v1b_26w_4s_mmdetv2-f0a600f9.pth', # NOQA + backbone=dict(type='Res2Net', depth=101, scale=4, base_width=26))","**Code Review**

* The code is a snippet from a configuration file, likely for a deep learning model.
* The `pretrained` parameter is assigned a URL, but the `# NOQA` comments are unnecessary and can be removed.
* The `backbone` dictionary is assigned a type and parameters, but the `type` parameter is not validated.
* The code assumes a specific model architecture and weights file, which may not be flexible or reusable.","This code snippet appears to be a configuration file for a model, but it's missing a crucial part of the discussion. The provided text seems to be a conversation or a discussion about adding a new shortcut to a matrix, but it's unrelated to the code snippet. 

However, if I had to write a concise code review for the given code snippet, it would be:

* Missing documentation for the model configuration.
* The `pretrained` URL is hardcoded, consider using environment variables or a more robust configuration method.
* The `backbone` configuration is incomplete, consider adding more details about the model architecture.",better to use the format in `demo_cascade_rcnn.py`,better add a license to the downloaded model?,IN,IN,IN,IN
this conditional is useless now so it should be removed,"@@ -116,7 +116,7 @@ define(['layoutManager', 'browser', 'actionsheet', 'css!./emby-select', 'registe inputId++; } - if (!browser.firefox) { + if (browser) { this.classList.add('emby-select-withcolor'); if (layoutManager.tv) {","**Code Review**

* The conditional logic has been simplified by removing the unnecessary `!` operator.
* The addition of a class name based on the browser type is a good practice for styling.
* The code is concise and easy to read.","```
`wg-approvers` approval is blocking this PR. Consider moving the glob set to a separate file to allow for a more permissive OWNERS list.```",Why remove the browser check?,Why remove this check?,IN,IN,IN,IN
I think it would make sense to fetch the cache values after deleting the listens and making sure they are what we expect.,"@@ -426,8 +426,11 @@ class TestTimescaleListenStore(DatabaseTestCase): self.assertEqual(count + 1, int(cache.get(user_key, decode=False) or 0)) def test_delete_listens(self): - self._create_test_data(self.testuser_name) - listens, min_ts, max_ts = self.logstore.fetch_listens(user_name=self.testuser_name, to_ts=1400000300) + uid = random.randint(2000, 1 << 31) + testuser = db_user.get_or_create(uid, user_%d % uid) + testuser_name = testuser['musicbrainz_id'] + self._create_test_data(testuser_name) + listens, min_ts, max_ts = self.logstore.fetch_listens(user_name=testuser_name, to_ts=1400000300) self.assertEqual(len(listens), 5) self.assertEqual(listens[0].ts_since_epoch, 1400000200) self.assertEqual(listens[1].ts_since_epoch, 1400000150)","**Code Review**

* The new test data creation is not properly wrapped in a test-only context, potentially affecting other tests.
* The `testuser_name` variable is not validated for uniqueness.
* The test is not explicitly checking for any edge cases or failures.
* The `fetch_listens` method is not verified to be working correctly with the new test data.
* The test is not using a more robust way to generate test data (e.g., using a test factory).","Here is a concise code review:

`@weizhouapache`: could this cause regression if it always removes keys? See old commits d62d5c6cd23daeb922e5c6f64399cc30596c15a3, 8fb388e9312b917a8f36c7d7e3f45985a95ce773, c9ce3e2344ab863dae09e63bf783331097a660cb. Does it break for:
- stop and destroy a VM
- add/remove a new nic to VM (multi-homed vms in VPC)
- update/replace new IPs to VM
- change in nic/ip order?",you should use `uuid.uuid4()` instead of `random.randint`,You can use `user_data` fixture here.,IN,AS,AS,IN
Should the API have a dependency on the SDK?,"@@ -23,6 +23,7 @@ import ( go.opentelemetry.io/otel/api/kv go.opentelemetry.io/otel/api/metric go.opentelemetry.io/otel/api/metric/registry + go.opentelemetry.io/otel/sdk/instrumentation ) // This file contains the forwarding implementation of metric.Provider","**Code Review**

* The addition of a new import statement suggests a new feature or functionality has been added, but the commit message does not reflect this change.
* The code does not appear to have any syntax errors or formatting issues.
* The commit message is concise but does not provide enough context for the changes made.
* Consider adding a more descriptive commit message to reflect the changes made.","""This import path is subject to change by the `go-systemd` package, which may cause issues.""",This is not used,It should be `go.opentelemetry.io/otel/sdk/instrumentation/library`,AS,IN,IN,AS
Can this also include a quick test for transpiling by name?,"@@ -47,12 +47,18 @@ describe transpiling YAML plans do } PLAN - it 'transpiles a yaml plan' do + it 'transpiles a YAML plan from a path' do expect { run_cli(%W[plan convert #{plan_path}]) }.to output(output_plan).to_stdout end + it 'transpiles a YAML plan from a plan name' do + expect { + run_cli(%W[plan convert yaml::conversion -m #{modulepath}]) + }.to output(output_plan).to_stdout + end + it 'plan show output is the same for the original plan and converted plan', ssh: true do Dir.mktmpdir do |tmpdir| FileUtils.mkdir_p(File.join(tmpdir, 'plans'))","Here is a concise code review:

**Code Review**

* Additional test cases for transpiling YAML plans are added, which is good for ensuring the functionality is working correctly.
* However, the new test cases are similar to the existing ones and could be extracted into a separate method to avoid code duplication.
* The `ssh: true` in the last test case is not explained and could be clarified.","```markdown
**Code Review**

The addition of new test cases for transpiling YAML plans from a path and plan name is a good step. However, the last test case seems out of place as it checks the `plan show` output for the original and converted plan, which doesn't seem directly related to the new functionality. Consider moving or rephrasing this test case to better fit the context. 

```","You could use `plan_path` here, too.",This is the test for the change,AS,IN,AS,IN
Are these imports needed?,"@@ -14,7 +14,9 @@ import abc import logging +import datetime import parameter +import target import warnings import traceback import pyparsing as pp","**Code Review**

* Unnecessary blank line after import statements.
* Unused import `warnings` and `traceback`.
* No docstrings or comments to explain the purpose of the code.
* No type hints or docstrings for imported functions.","""Consider switching to absolute imports to avoid potential issues.""",Nit: Unnecessary empty line,This line can be removed.,IN,IN,IN,IN
I believe you're missing the comparison after 'be',"@@ -1019,4 +1019,18 @@ describe Mongoid::Relations::Embedded::One do end end end + + context when parent validation of child is set to false do + + let(:building) do + building = Building.create + building.building_address = BuildingAddress.new + building.save + building.reload + end + + it parent successfully embeds an invalid child do + expect(building.building_address).to be_a(BuildingAddress) + end + end end","This code review is brief and to the point:

**Code Review**

* The additional test context is clear and concise.
* The `let` block is well-structured and easy to follow.
* The `it` block is straightforward and tests the expected behavior.
* However, the test only checks if the embedded child is not nil, which may not be sufficient to ensure the child is valid. Consider adding additional assertions to verify the child's validity.","The code appears well-structured, but could benefit from adding a case for `sig {params.void}` as per the reviewer's suggestion.",You don't need to assign to a variable here.,Layout/TrailingWhitespace: Trailing whitespace detected.,IN,AS,IN,IN
"Rails will autorequire `acts_as_editable` once it encounters the constant `ActsAsEditable`. Thus if we move `ActiveRecord::Base.send :include, ActsAsEditable` from _acts_as_editable.rb_ to this file, the require line will not be needed anymore. Instead of requiring the file ourselves, we will let Rails do it for us. This fix will also remove the need to explicitly require `acts_as_editable` in _mock_active_record_base.rb_.","@@ -0,0 +1 @@ +require #{Rails.root}/app/models/acts_as_editable/acts_as_editable.rb","This line of code appears to be a single line of a Git diff output, specifically an addition of a `require` statement in a Rails application. The code is straightforward and serves its purpose, but it would be more idiomatic in Rails to use the `require` method in a `config.autoload_paths` block instead of requiring it directly in a file.","""Unclear intent. Instead of requiring a file, consider including the ActsAsEditable module directly in the model.""",Use 2 (not 3) spaces for indentation.,Do not use the `#` to access the Rails root directory. Use `Rails.application.root` instead.,IN,IN,IN,IN
either SUPPORTED_TYPECLASS or supported_typeclass. Camelcase only for class names.,"@@ -55,6 +55,7 @@ class InventoryTypeClass(object): RESOURCE = 'resource' IAM_POLICY = 'iam_policy' GCS_POLICY = 'gcs_policy' + Supported_TypeClass = [RESOURCE, IAM_POLICY, GCS_POLICY] class InventoryIndex(BASE):","**Code Review**

* The new constant `Supported_TypeClass` is defined but not used. Consider removing it.
* The class `InventoryIndex` is not defined in this snippet, so it's unclear what it's supposed to do.
* The code uses a mix of uppercase and lowercase variable names, which can make it harder to read. Consider sticking to a consistent naming convention.","Here is a concise code review:

* Inconsistent naming convention: ""is"" is used in one instance but not others.
* `_attribute_map` is unclear: its purpose and relation to `isHidden` and `retrievable` is not evident.",Should this be `SupportedTypes`?,Supported_TypeClass -> SUPPORTED_TYPE_CLASS,IN,IN,AS,IN
Please dont change this.,,"This is not a code snippet, it appears to be a diff of a copyright header. However, I can still provide a concise code review:

**Code Review:**
* Updated copyright year to 2018.","`Updated copyright year to 2018, minor formatting change.`",Please don't change the copyright year,"this is a new copyright year, but I don't think this is a full re-write of this file.",IN,IN,SE,IN
"It is `$JAVA_HOME/bin`, not `$JAVA_HOME`, which should be added.","@@ -18,6 +18,7 @@ module Travis CLEANUPS.each do |find_arg| sh.raw find #{find_arg[:directory]} -name #{find_arg[:glob]} -delete 2>/dev/null end + sh.export 'PATH', '$JAVA_HOME:$PATH' end def install","**Code Review**

* The new line `sh.export 'PATH', '$JAVA_HOME:$PATH'` appears to be an unrelated change to the existing `install` method. It would be better to add a comment explaining the purpose of this change.
* The rest of the code looks clean and concise.",Favor modifier if usage when having a single-line body. Another good alternative is the usage of control flow &&/||.,This line is not needed anymore.,"You can do `sh.export 'PATH', value: $JAVA_HOME + $PATH`",IN,IN,IN,IN
"I think the functional test should not change here, this is probably a test in itself :)","@@ -20,7 +20,7 @@ def function(): #todo: no space after hash # +1: [fixme] - # FIXME: this is broken + # FIXME: this is broken # +1: [fixme] # ./TODO: find with notes # +1: [fixme]","**Code Review**

* Removed unnecessary comments, which were repeated and not descriptive.
* Removed unnecessary `# +1: [fixme]` comments, which are not descriptive.
* Removed `../TODO: find with notes`, which is not a valid comment.
* Code is concise and easy to read.","`Code organization could be improved by prioritizing key information: (1) removal version, (2) replacement, and (3) additional resources.`","@havocp I'm going to fix this, but I'm going to change the `# +1: [fixme]` to `# FIXME: this is broken` so that they're all the same.",this looks weird. I guess it's not part of your PR,IN,AS,IN,IN
Shouldn't we throw an exception if the context is null instead?,,"**Code Review**

* The addition of `$mediaContext` is unnecessary as it's equivalent to `$media->getContext()`. Consider removing it for simplicity.
* The null check for `$mediaContext` is redundant since it's already guaranteed to be set by the previous line.
* Consider using early returns or method extraction to improve code readability and reduce nesting.","Removed unused code snippet, refactored to handle null context.",I would add the null check before calling `getContext` as well,this function was removed in #932 from media object,IN,IN,IN,IN
This file shouldn't be in this PR,"@@ -1,6 +1,6 @@ // DO NOT EDIT: This file is autogenerated via the builtin command. -package v1_test +package v1 import ( ast github.com/influxdata/flux/ast","**Code Review**

* The comment at the top suggests this file is auto-generated, but the code appears to be manually edited (e.g. package name change).
* The import statement for `ast` is unnecessary since it's already imported from the parent package.
* The package name change from `v1_test` to `v1` is inconsistent with the comment suggesting this file is auto-generated.",nit: inconsistent package import ordering.,What happened here? Why did this get changed?,Shouldn't this be `v1/test`?,AS,IN,IN,AS
"How is this message used? Can we remove the ""crashed executor/container"" part which is an implementation detail?",,"**Code Review**

The added `EXECUTION_STOPPED` case and its corresponding return value are well-structured and clear in intent. However, the variable `Killing` is not defined anywhere in the function. It should be replaced with a more descriptive variable name. The function could also benefit from a comment explaining the purpose of the `EXECUTION_STOPPED` case.","Needs to add missing cases for `EXECUTION_STOPPED` to `BUNDLE_SPECIFIC_HEADERS` and `options` in `WebUtils` class, and also to `Syntax` class.",What's the difference between this and `KILLED`?,Should we log the exception too?,AS,IN,IN,AS
This object should be in `lib/music/show.rb` and you should also wrap this object in the `Faker::Music::Show`.,"@@ -0,0 +1,19 @@ +# frozen_string_literal: true + +module Faker + class Show < Base + class << self + def adult_musical + fetch('show.adult_musical') + end + + def kids_musical + fetch('show.kids_musical') + end + + def play + fetch('show.play') + end + end + end +end","**Code Review**

* The code is well-structured and follows the Faker gem's naming conventions.
* The use of `fetch` method is concise and readable.
* However, the `adult_musical`, `kids_musical`, and `play` methods are identical and could be extracted into a separate method or even a single method with a parameter to make the code more DRY (Don't Repeat Yourself).
* The `Base` class is not shown in this snippet, but it's assumed to be a part of the Faker gem's architecture.","**nitpick (non-blocking):** The order of methods `adult_musical`, `kids_musical`, and `play` could be alphabetical to match the naming convention.",I would add `private :new`,I think you forgot to add these files to the commit,AS,AS,IN,IN
Also update line 2205 below,"@@ -2186,7 +2186,7 @@ class WebElement { if (!this.driver_.fileDetector_) { return this.schedule_( new command.Command(command.Name.SEND_KEYS_TO_ELEMENT). - setParameter('text', keys). + setParameter('text', keys.then(keys => keys.join(''))). setParameter('value', keys), 'WebElement.sendKeys()'); }","**Code Review**

* The change is minor and appears to be a bug fix.
* The addition of `.then(keys => keys.join(''))` suggests a potential issue with asynchronous code, but it's likely a necessary fix given the `keys` variable is a promise.
* The code is concise and easy to understand.","**Code Review**

Refactored test to not modify `Object.prototype` to prevent Chrome-specific failure.",Is this guaranteed to resolve? I'm wondering if this could lead to a `Promise` being passed to `setParameter`.,"is this a race condition? if we call then() before the promise is resolved, it will return a promise instead of a string.",AS,IN,AS,IN
"Same as before, the properties already exists in parent","@@ -8,16 +8,6 @@ class TTemplateParamClass extends TClassString */ public $param_name; - /** - * @var string - */ - public $as; - - /** - * @var ?TNamedObject - */ - public $as_type; - /** * @var string */","Removed 10 lines of commented out code, simplifying the class definition.","`This method could be optimized by checking for the existence of'schema' in the data array before calling $this->jsonSchemaTypeFactory->getType. Also, consider verifying the schema's compatibility with Swagger v2.`",shouldn't these be removed too?,Can you rename this to `name`?,IN,AS,AS,IN
The rule renderer isn't meant to be stateful so probably best to move this out of here,"@@ -24,6 +24,10 @@ import ( github.com/projectcalico/felix/stringutils ) +func (r *DefaultRuleRenderer) CleanupEndPoint(ifaceName string) { + r.epmm.RemoveEndPointMark(ifaceName) +} + func (r *DefaultRuleRenderer) WorkloadDispatchChains( endpoints map[proto.WorkloadEndpointID]*proto.WorkloadEndpoint, ) []*Chain {","**Code Review**

* The `CleanupEndPoint` method is added to the `DefaultRuleRenderer` struct, which is a good practice for encapsulating related functionality.
* The method correctly removes an endpoint mark from the `epmm` instance.
* The `WorkloadDispatchChains` method is unchanged, but its purpose and implementation should be reviewed for completeness and correctness.
* The `endpoints` map parameter is not checked for nil before use, which could lead to a panic. Consider adding a nil check.
* The return type `*[]*Chain` is unusual and may indicate a design issue. Consider using a more conventional return type.","""Consider removing the `CleanupEndPoint` method as it doesn't seem to be used.""","Nit: RemoveEndPointMark is a verb and implies some action is taken. What do you think of ""ClearEndPointMark""?",I think we should be able to remove the need for this if we make a change to the `RemoveEndPointMark` to check the `endpoints` list to see if we should remove the mark or not.,AS,IN,IN,AS
Remove unused import,"@@ -76,9 +76,11 @@ import org.springframework.security.oauth2.client.userinfo.ReactiveOAuth2UserSer import org.springframework.security.oauth2.client.web.server.AuthenticatedPrincipalServerOAuth2AuthorizedClientRepository; import org.springframework.security.oauth2.client.web.server.OAuth2AuthorizationCodeGrantWebFilter; import org.springframework.security.oauth2.client.web.server.OAuth2AuthorizationRequestRedirectWebFilter; +import org.springframework.security.oauth2.client.web.server.ServerAuthorizationRequestRepository; import org.springframework.security.oauth2.client.web.server.ServerOAuth2AuthorizationCodeAuthenticationTokenConverter; import org.springframework.security.oauth2.client.web.server.ServerOAuth2AuthorizationRequestResolver; import org.springframework.security.oauth2.client.web.server.ServerOAuth2AuthorizedClientRepository; +import org.springframework.security.oauth2.client.web.server.WebSessionOAuth2ServerAuthorizationRequestRepository; import org.springframework.security.oauth2.client.web.server.authentication.OAuth2LoginAuthenticationWebFilter; import org.springframework.security.oauth2.core.endpoint.OAuth2AuthorizationRequest; import org.springframework.security.oauth2.core.oidc.user.OidcUser;","**Code Review**

* The code snippet appears to be a Java configuration for OAuth2 authentication using Spring Security.
* The addition of new imports suggests changes to the configuration, potentially adding support for server-side OAuth2 authorization.
* The changes are minor and do not introduce any obvious security vulnerabilities.
* The code is generally well-organized, but the use of multiple imports for the same classes (e.g. `ServerOAuth2AuthorizedClientRepository`) could be simplified.
* A brief explanation of the changes would be beneficial for future maintainers.",`ACL.impersonate` seems unlikely to be a warning. The author thought this was a justification rather than a value.,Is this needed?,This is the main change. We now use the `WebSession` to store the authorization request.,AS,IN,IN,IN
This should be done by code-gen change happening in the hydra repo. I am tweaking it just to get CI into a 'passing' state,"@@ -36,8 +36,11 @@ var SwaggerPetstore = ( /** @lends SwaggerPetstore */ function() { * {@link https://github.com/request/request#requestoptions-callback Options doc} */ function SwaggerPetstore(baseUri, options) { - SwaggerPetstore['super_'].call(this, options); - + if (!options) { + options = {}; + } + SwaggerPetstore['super_'].call(this, options.credentials, options); + this.baseUri = baseUri; if (this.baseUri === null || this.baseUri === undefined) { this.baseUri = 'http://localhost:12510/api';","**Code Review**

* Introduced a potential bug by allowing `options` to be null or undefined. It should be validated to ensure it's an object.
* Unnecessary check for `baseUri` being null or undefined, as it's already validated by the `if` statement.
* Variable naming could be improved for better readability (e.g., `baseUri` instead of `baseUri`).
* Consider adding a doc comment to explain the purpose of the `options` parameter.
* The `super_` call is not typical JavaScript style; consider using `super()` instead.",`additionalArguments` is an array and wasn't being inherited properly. This was a bug relevant to the change.,should this be `options = options || {}`?,this line should not be necessary,AS,IN,AS,AS
